Move,Piece,Rotation,Flip,Row,Col
0,Piece.RAILWAY_T,Rotation.R90,False,6,2
0,Piece.STRAIGHT_STATION,Rotation.I,False,4,1
0,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,2
0,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
0,Piece.CORNER_JUNCTION,Rotation.R90,False,3,1
1,Piece.RAILWAY_T,Rotation.R90,False,6,2
1,Piece.STRAIGHT_STATION,Rotation.R180,False,4,1
1,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
1,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,4
1,Piece.THREE_H_JUNCTION,Rotation.R90,False,3,1
2,Piece.RAILWAY_CORNER,Rotation.R90,False,6,2
2,Piece.RAILWAY_T,Rotation.R180,False,5,1
2,Piece.CORNER_JUNCTION,Rotation.R90,False,5,2
2,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,4
2,Piece.STRAIGHT_STATION,Rotation.I,False,4,2
3,Piece.RAILWAY_CORNER,Rotation.R90,False,6,2
3,Piece.RAILWAY_T,Rotation.R180,False,5,1
3,Piece.THREE_R_JUNCTION,Rotation.I,False,5,2
3,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,4
3,Piece.STRAIGHT_STATION,Rotation.I,False,4,2
4,Piece.RAILWAY_T,Rotation.R90,False,6,2
4,Piece.THREE_R_JUNCTION,Rotation.I,False,5,1
4,Piece.STRAIGHT_STATION,Rotation.I,False,4,1
4,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
4,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,4
5,Piece.RAILWAY_T,Rotation.R90,False,6,2
5,Piece.STRAIGHT_STATION,Rotation.R180,False,4,1
5,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,2
5,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
5,Piece.THREE_H_JUNCTION,Rotation.R90,False,3,1
6,Piece.RAILWAY_CORNER,Rotation.R90,False,6,2
6,Piece.THREE_R_JUNCTION,Rotation.I,False,5,1
6,Piece.STRAIGHT_STATION,Rotation.I,False,4,1
6,Piece.RAILWAY_T,Rotation.R270,False,5,2
6,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,4
7,Piece.RAILWAY_CORNER,Rotation.R90,False,6,2
7,Piece.STRAIGHT_STATION,Rotation.I,False,4,1
7,Piece.RAILWAY_T,Rotation.R270,False,5,2
7,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,4
7,Piece.CORNER_JUNCTION,Rotation.R90,False,3,1
8,Piece.RAILWAY_T,Rotation.I,False,6,2
8,Piece.THREE_R_JUNCTION,Rotation.I,False,5,1
8,Piece.STRAIGHT_STATION,Rotation.I,False,4,1
8,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
8,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,4
9,Piece.THREE_H_JUNCTION,Rotation.R90,False,1,3
9,Piece.RAILWAY_CORNER,Rotation.R90,False,6,2
9,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,3,2
9,Piece.RAILWAY_T,Rotation.R270,False,5,2
9,Piece.STRAIGHT_STATION,Rotation.R180,False,4,2
10,Piece.RAILWAY_CORNER,Rotation.R90,False,6,2
10,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,1
10,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,3,2
10,Piece.RAILWAY_T,Rotation.R270,False,5,2
10,Piece.STRAIGHT_STATION,Rotation.R180,False,4,2
11,Piece.RAILWAY_CORNER,Rotation.R90,False,6,2
11,Piece.THREE_R_JUNCTION,Rotation.I,False,5,1
11,Piece.STRAIGHT_STATION,Rotation.I,False,4,1
11,Piece.RAILWAY_T,Rotation.R180,False,5,2
11,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,4
12,Piece.RAILWAY_CORNER,Rotation.R90,False,6,2
12,Piece.THREE_R_JUNCTION,Rotation.I,False,5,1
12,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,3,2
12,Piece.RAILWAY_T,Rotation.R270,False,5,2
12,Piece.STRAIGHT_STATION,Rotation.R180,False,4,2
13,Piece.RAILWAY_CORNER,Rotation.R90,False,6,2
13,Piece.RAILWAY_T,Rotation.R180,False,5,1
13,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,3,2
13,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,2
13,Piece.STRAIGHT_STATION,Rotation.R180,False,4,2
14,Piece.RAILWAY_CORNER,Rotation.R90,False,6,2
14,Piece.RAILWAY_T,Rotation.R180,False,5,1
14,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,3,2
14,Piece.THREE_R_JUNCTION,Rotation.R90,False,5,2
14,Piece.STRAIGHT_STATION,Rotation.R180,False,4,2
15,Piece.RAILWAY_CORNER,Rotation.R90,False,6,2
15,Piece.STRAIGHT_STATION,Rotation.I,False,4,1
15,Piece.RAILWAY_T,Rotation.R180,False,5,2
15,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,4
15,Piece.CORNER_JUNCTION,Rotation.R90,False,3,1
