Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
0,59.0,60.0,59.0,59.0,60.0,59.0,59.0,60.0,60.0,55.0,51.0,55.0,58.0,55.0,55.0,55.0
1,55.0,62.0,56.0,56.0,62.0,56.0,55.0,62.0,62.0,56.0,49.0,52.0,55.0,53.0,52.0,52.0
2,57.0,58.0,57.0,57.0,58.0,57.0,57.0,58.0,58.0,56.0,50.0,53.0,56.0,53.0,53.0,53.0
3,60.0,59.0,62.0,62.0,59.0,62.0,60.0,59.0,59.0,56.0,54.0,56.0,61.0,55.0,55.0,55.0
4,58.0,61.0,62.0,62.0,61.0,62.0,60.0,61.0,61.0,57.0,55.0,54.0,61.0,56.0,56.0,56.0
5,58.0,57.0,62.0,62.0,57.0,62.0,60.0,57.0,57.0,57.0,53.0,54.0,61.0,56.0,56.0,56.0
6,58.0,55.0,61.0,61.0,55.0,61.0,59.0,55.0,55.0,55.0,55.0,57.0,60.0,56.0,56.0,56.0
7,59.0,57.0,63.0,63.0,57.0,63.0,61.0,57.0,57.0,57.0,56.0,55.0,62.0,57.0,57.0,57.0
8,56.0,55.0,59.0,59.0,55.0,59.0,57.0,55.0,55.0,56.0,54.0,55.0,58.0,57.0,57.0,57.0
9,57.0,54.0,61.0,61.0,54.0,61.0,59.0,54.0,54.0,55.0,55.0,57.0,60.0,55.0,55.0,55.0
10,54.0,56.0,58.0,58.0,56.0,58.0,56.0,56.0,56.0,57.0,54.0,53.0,57.0,52.0,52.0,52.0
11,55.0,53.0,59.0,59.0,54.0,59.0,57.0,54.0,53.0,57.0,53.0,55.0,58.0,53.0,53.0,53.0
12,56.0,53.0,60.0,60.0,53.0,60.0,58.0,53.0,53.0,56.0,54.0,56.0,59.0,55.0,55.0,55.0
13,56.0,59.0,60.0,60.0,59.0,60.0,58.0,59.0,59.0,57.0,53.0,54.0,59.0,54.0,54.0,54.0
14,58.0,54.0,60.0,60.0,54.0,60.0,58.0,54.0,54.0,57.0,52.0,54.0,59.0,54.0,54.0,54.0
15,57.0,54.0,61.0,61.0,54.0,61.0,59.0,54.0,54.0,55.0,55.0,55.0,60.0,56.0,56.0,56.0
