Move,Piece,Rotation,Flip,Row,Col
0,Piece.RAILWAY_CORNER,Rotation.R90,False,5,5
0,Piece.HIGHWAY_CORNER,Rotation.I,False,4,4
0,Piece.STRAIGHT_STATION,Rotation.R180,False,4,5
0,Piece.HIGHWAY_JUNCTION,Rotation.I,False,3,5
0,Piece.HIGHWAY_T,Rotation.R180,False,4,3
1,Piece.CORNER_JUNCTION,Rotation.I,False,4,4
1,Piece.HIGHWAY_CORNER,Rotation.R180,False,0,0
1,Piece.RAILWAY_CORNER,Rotation.R90,False,5,4
1,Piece.STRAIGHT_STATION,Rotation.I,False,6,5
1,Piece.HIGHWAY_T,Rotation.R180,False,4,3
2,Piece.RAILWAY_CORNER,Rotation.R90,False,5,6
2,Piece.HIGHWAY_JUNCTION,Rotation.I,False,4,4
2,Piece.HIGHWAY_CORNER,Rotation.R180,False,0,0
2,Piece.STRAIGHT_STATION,Rotation.I,False,6,5
2,Piece.HIGHWAY_T,Rotation.R180,False,4,3
3,Piece.HIGHWAY_CORNER,Rotation.I,False,4,4
3,Piece.THREE_R_JUNCTION,Rotation.R180,False,1,5
3,Piece.RAILWAY_CORNER,Rotation.R180,False,1,4
3,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
3,Piece.HIGHWAY_T,Rotation.I,False,3,5
4,Piece.RAILWAY_CORNER,Rotation.R90,False,5,6
4,Piece.HIGHWAY_CORNER,Rotation.R180,False,0,0
4,Piece.STRAIGHT_STATION,Rotation.I,False,6,5
4,Piece.HIGHWAY_JUNCTION,Rotation.I,False,3,5
4,Piece.HIGHWAY_T,Rotation.R180,False,4,3
5,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
5,Piece.HIGHWAY_CORNER,Rotation.R180,False,0,0
5,Piece.STRAIGHT_STATION,Rotation.I,False,6,5
5,Piece.HIGHWAY_JUNCTION,Rotation.I,False,3,5
5,Piece.HIGHWAY_T,Rotation.R180,False,4,3
6,Piece.STRAIGHT_STATION,Rotation.I,False,2,5
6,Piece.HIGHWAY_CORNER,Rotation.I,False,4,4
6,Piece.RAILWAY_CORNER,Rotation.R180,False,1,5
6,Piece.HIGHWAY_JUNCTION,Rotation.I,False,3,5
6,Piece.HIGHWAY_T,Rotation.R180,False,4,3
7,Piece.THREE_R_JUNCTION,Rotation.R180,False,1,5
7,Piece.HIGHWAY_CORNER,Rotation.R180,False,0,0
7,Piece.RAILWAY_CORNER,Rotation.R180,False,1,4
7,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
7,Piece.HIGHWAY_T,Rotation.I,False,3,5
8,Piece.RAILWAY_CORNER,Rotation.R180,False,5,6
8,Piece.HIGHWAY_CORNER,Rotation.I,False,4,4
8,Piece.STRAIGHT_STATION,Rotation.R180,False,4,5
8,Piece.HIGHWAY_JUNCTION,Rotation.I,False,3,5
8,Piece.HIGHWAY_T,Rotation.R180,False,4,3
9,Piece.RAILWAY_CORNER,Rotation.R90,False,5,5
9,Piece.HIGHWAY_CORNER,Rotation.R180,False,0,0
9,Piece.STRAIGHT_STATION,Rotation.R180,False,4,5
9,Piece.HIGHWAY_JUNCTION,Rotation.I,False,3,5
9,Piece.HIGHWAY_T,Rotation.R180,False,4,3
10,Piece.RAILWAY_CORNER,Rotation.R180,False,5,6
10,Piece.HIGHWAY_CORNER,Rotation.I,False,4,4
10,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
10,Piece.HIGHWAY_JUNCTION,Rotation.I,False,3,5
10,Piece.HIGHWAY_T,Rotation.R180,False,4,3
11,Piece.THREE_R_JUNCTION,Rotation.I,False,1,6
11,Piece.HIGHWAY_CORNER,Rotation.I,False,4,4
11,Piece.RAILWAY_CORNER,Rotation.I,False,2,6
11,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
11,Piece.HIGHWAY_T,Rotation.R180,False,4,3
12,Piece.CORNER_JUNCTION,Rotation.R270,False,2,5
12,Piece.HIGHWAY_CORNER,Rotation.I,False,4,4
12,Piece.RAILWAY_CORNER,Rotation.I,False,2,6
12,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
12,Piece.HIGHWAY_T,Rotation.I,False,3,5
13,Piece.HIGHWAY_CORNER,Rotation.I,False,4,4
13,Piece.THREE_R_JUNCTION,Rotation.R180,False,1,5
13,Piece.RAILWAY_CORNER,Rotation.R180,False,1,4
13,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
13,Piece.HIGHWAY_T,Rotation.R180,False,4,3
14,Piece.RAILWAY_CORNER,Rotation.R90,False,1,6
14,Piece.HIGHWAY_CORNER,Rotation.I,False,4,4
14,Piece.STRAIGHT_STATION,Rotation.R180,False,4,5
14,Piece.HIGHWAY_T,Rotation.R180,False,3,5
14,Piece.HIGHWAY_JUNCTION,Rotation.I,False,4,3
15,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,5
15,Piece.HIGHWAY_CORNER,Rotation.R180,False,0,0
15,Piece.RAILWAY_CORNER,Rotation.R270,False,4,5
15,Piece.STRAIGHT_STATION,Rotation.I,False,6,5
15,Piece.HIGHWAY_T,Rotation.R180,False,4,3
