Move,Piece,Rotation,Flip,Row,Col
0,Piece.RAILWAY_CORNER,Rotation.R270,False,5,1
0,Piece.RAILWAY_CORNER,Rotation.R180,False,4,0
0,Piece.CORNER_JUNCTION,Rotation.R180,False,4,1
0,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
0,Piece.STRAIGHT_STATION,Rotation.I,False,6,1
1,Piece.RAILWAY_CORNER,Rotation.R270,False,5,1
1,Piece.RAILWAY_CORNER,Rotation.R180,False,4,0
1,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,0
1,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
1,Piece.STRAIGHT_STATION,Rotation.I,False,6,1
2,Piece.STRAIGHT_STATION,Rotation.R180,False,5,1
2,Piece.RAILWAY_CORNER,Rotation.R180,False,4,0
2,Piece.RAILWAY_CORNER,Rotation.I,False,5,0
2,Piece.CORNER_JUNCTION,Rotation.R180,False,4,1
2,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
3,Piece.STRAIGHT_STATION,Rotation.I,False,2,5
3,Piece.RAILWAY_CORNER,Rotation.R180,False,4,0
3,Piece.RAILWAY_CORNER,Rotation.I,False,5,0
3,Piece.CORNER_JUNCTION,Rotation.R180,False,4,1
3,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
4,Piece.STRAIGHT_STATION,Rotation.I,False,2,5
4,Piece.RAILWAY_CORNER,Rotation.R180,False,4,0
4,Piece.RAILWAY_CORNER,Rotation.R180,False,1,5
4,Piece.CORNER_JUNCTION,Rotation.R180,False,4,1
4,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
5,Piece.RAILWAY_CORNER,Rotation.R180,False,4,0
5,Piece.RAILWAY_CORNER,Rotation.I,False,5,0
5,Piece.CORNER_JUNCTION,Rotation.R180,False,4,1
5,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
5,Piece.STRAIGHT_STATION,Rotation.I,False,6,1
6,Piece.RAILWAY_CORNER,Rotation.R270,False,5,1
6,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,0
6,Piece.RAILWAY_CORNER,Rotation.I,False,4,1
6,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
6,Piece.STRAIGHT_STATION,Rotation.I,False,6,1
7,Piece.RAILWAY_CORNER,Rotation.R180,False,4,0
7,Piece.RAILWAY_CORNER,Rotation.I,False,5,0
7,Piece.CORNER_JUNCTION,Rotation.R180,False,4,1
7,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
7,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
8,Piece.STRAIGHT_STATION,Rotation.R270,False,4,0
8,Piece.RAILWAY_CORNER,Rotation.R270,False,5,0
8,Piece.CROSS_JUNCTION,Rotation.R90,False,4,1
8,Piece.RAILWAY_CORNER,Rotation.R90,False,6,0
8,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
9,Piece.RAILWAY_JUNCTION,Rotation.I,False,1,5
9,Piece.RAILWAY_CORNER,Rotation.R180,False,1,4
9,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
9,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
9,Piece.RAILWAY_CORNER,Rotation.R90,False,2,4
10,Piece.RAILWAY_CORNER,Rotation.R180,False,4,0
10,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,0
10,Piece.RAILWAY_CORNER,Rotation.I,False,4,1
10,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
10,Piece.STRAIGHT_STATION,Rotation.I,False,6,1
11,Piece.CORNER_JUNCTION,Rotation.R180,False,2,5
11,Piece.RAILWAY_CORNER,Rotation.R180,False,1,4
11,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
11,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
11,Piece.RAILWAY_CORNER,Rotation.R90,False,2,4
12,Piece.RAILWAY_CORNER,Rotation.R180,False,4,0
12,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,0
12,Piece.RAILWAY_CORNER,Rotation.I,False,6,0
12,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
12,Piece.STRAIGHT_STATION,Rotation.I,False,6,1
13,Piece.RAILWAY_CORNER,Rotation.R270,False,5,1
13,Piece.RAILWAY_CORNER,Rotation.R180,False,4,0
13,Piece.CORNER_JUNCTION,Rotation.R180,False,4,1
13,Piece.HIGHWAY_CORNER,Rotation.R90,False,0,5
13,Piece.STRAIGHT_STATION,Rotation.I,False,6,1
14,Piece.RAILWAY_CORNER,Rotation.R180,False,4,0
14,Piece.RAILWAY_CORNER,Rotation.R90,False,1,5
14,Piece.CORNER_JUNCTION,Rotation.R180,False,4,1
14,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
14,Piece.HIGHWAY_CORNER,Rotation.R270,False,3,5
15,Piece.THREE_H_JUNCTION,Rotation.I,False,5,1
15,Piece.RAILWAY_CORNER,Rotation.R180,False,4,0
15,Piece.RAILWAY_CORNER,Rotation.I,False,5,0
15,Piece.HIGHWAY_CORNER,Rotation.R270,False,5,2
15,Piece.STRAIGHT_STATION,Rotation.I,False,6,1
