Move,Piece,Rotation,Flip,Row,Col
0,Piece.RAILWAY_CORNER,Rotation.R90,False,1,6
0,Piece.STRAIGHT_STATION,Rotation.R180,False,6,3
0,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
0,Piece.HIGHWAY_JUNCTION,Rotation.I,False,4,1
0,Piece.RAILWAY_CORNER,Rotation.R270,False,0,6
1,Piece.RAILWAY_CORNER,Rotation.R90,False,1,6
1,Piece.STRAIGHT_STATION,Rotation.R180,False,6,3
1,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
1,Piece.THREE_R_JUNCTION,Rotation.I,False,0,5
1,Piece.RAILWAY_CORNER,Rotation.R270,False,0,6
2,Piece.RAILWAY_CORNER,Rotation.R90,False,1,6
2,Piece.STRAIGHT_STATION,Rotation.R180,False,6,3
2,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
2,Piece.CORNER_JUNCTION,Rotation.I,False,0,5
2,Piece.RAILWAY_CORNER,Rotation.R270,False,0,6
3,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
3,Piece.RAILWAY_CORNER,Rotation.R270,False,6,3
3,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
3,Piece.HIGHWAY_JUNCTION,Rotation.I,False,4,1
3,Piece.STRAIGHT_STATION,Rotation.I,False,2,6
4,Piece.RAILWAY_CORNER,Rotation.R90,False,1,6
4,Piece.STRAIGHT_STATION,Rotation.R180,False,6,3
4,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
4,Piece.CROSS_JUNCTION,Rotation.I,False,0,5
4,Piece.RAILWAY_CORNER,Rotation.R270,False,0,6
5,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
5,Piece.CORNER_JUNCTION,Rotation.R90,False,3,6
5,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
5,Piece.STRAIGHT_STATION,Rotation.I,False,2,6
5,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
6,Piece.THREE_R_JUNCTION,Rotation.R180,False,1,6
6,Piece.RAILWAY_CORNER,Rotation.R90,False,1,5
6,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
6,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
6,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
7,Piece.CROSS_JUNCTION,Rotation.I,False,1,6
7,Piece.RAILWAY_CORNER,Rotation.R90,False,1,5
7,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
7,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
7,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
8,Piece.THREE_R_JUNCTION,Rotation.I,False,1,6
8,Piece.RAILWAY_CORNER,Rotation.R90,False,1,5
8,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
8,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
8,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
9,Piece.CROSS_JUNCTION,Rotation.I,False,2,1
9,Piece.RAILWAY_CORNER,Rotation.R90,False,1,5
9,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
9,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
9,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
10,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
10,Piece.RAILWAY_CORNER,Rotation.R270,False,6,3
10,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
10,Piece.CROSS_JUNCTION,Rotation.I,False,5,4
10,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
11,Piece.THREE_R_JUNCTION,Rotation.I,False,2,1
11,Piece.RAILWAY_CORNER,Rotation.R90,False,1,5
11,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
11,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
11,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
12,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
12,Piece.RAILWAY_CORNER,Rotation.R270,False,6,3
12,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
12,Piece.HIGHWAY_JUNCTION,Rotation.I,False,4,1
12,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
13,Piece.THREE_R_JUNCTION,Rotation.R180,False,2,1
13,Piece.RAILWAY_CORNER,Rotation.R90,False,1,5
13,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
13,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
13,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
14,Piece.RAILWAY_JUNCTION,Rotation.I,False,1,6
14,Piece.RAILWAY_CORNER,Rotation.R90,False,1,5
14,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
14,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
14,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
15,Piece.RAILWAY_JUNCTION,Rotation.I,False,2,1
15,Piece.RAILWAY_CORNER,Rotation.R90,False,1,5
15,Piece.RAILWAY_CORNER,Rotation.R270,False,2,2
15,Piece.RAILWAY_CORNER,Rotation.R270,False,5,2
15,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
