Piece,Rotation,Flip,Row,Col,Turn
Piece.RAILWAY_T,Rotation.R90,False,0,0,1
Piece.RAILWAY_T,Rotation.R270,False,1,0,1
Piece.CORNER_STATION,Rotation.I,True,0,1,1
Piece.RAILWAY_CORNER,Rotation.I,False,2,0,1
Piece.RAILWAY_CORNER,Rotation.R270,False,6,2,2
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,5,1,2
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,6,0,2
Piece.OVERPASS,Rotation.I,False,6,1,2
Piece.RAILWAY_STRAIGHT,Rotation.I,False,3,3,3
Piece.CORNER_STATION,Rotation.R180,True,4,1,3
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,4,2,3
Piece.RAILWAY_CORNER,Rotation.I,False,4,3,3
Piece.STRAIGHT_STATION,Rotation.R90,False,1,6,4
Piece.HIGHWAY_CORNER,Rotation.R90,False,1,5,4
Piece.HIGHWAY_T,Rotation.R90,False,0,5,4
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,6,4
Piece.HIGHWAY_T,Rotation.R90,False,1,3,5
Piece.STRAIGHT_STATION,Rotation.I,False,0,3,5
Piece.HIGHWAY_CORNER,Rotation.R270,False,1,4,5
Piece.THREE_H_JUNCTION,Rotation.I,False,2,3,5
Piece.HIGHWAY_CORNER,Rotation.I,False,2,4,5
Piece.RAILWAY_CORNER,Rotation.I,False,6,6,6
Piece.RAILWAY_T,Rotation.R90,False,5,6,6
Piece.CORNER_STATION,Rotation.R180,False,3,6,6
Piece.CORNER_JUNCTION,Rotation.R270,False,6,5,6
Piece.RAILWAY_T,Rotation.R90,False,4,6,6
