Move,Piece,Rotation,Flip,Row,Col
0,Piece.CORNER_STATION,Rotation.R270,True,3,0
0,Piece.RAILWAY_CORNER,Rotation.R90,False,5,6
0,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,0
0,Piece.HIGHWAY_CORNER,Rotation.R180,False,3,6
0,Piece.CORNER_JUNCTION,Rotation.I,False,4,6
1,Piece.CORNER_STATION,Rotation.R270,True,3,0
1,Piece.RAILWAY_CORNER,Rotation.R90,False,5,6
1,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,0
1,Piece.HIGHWAY_CORNER,Rotation.R180,False,3,6
1,Piece.THREE_H_JUNCTION,Rotation.I,False,4,6
2,Piece.RAILWAY_CORNER,Rotation.R90,False,5,6
2,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,1
2,Piece.CORNER_STATION,Rotation.R90,True,6,0
2,Piece.CORNER_JUNCTION,Rotation.I,False,4,6
2,Piece.HIGHWAY_CORNER,Rotation.R270,False,6,1
3,Piece.RAILWAY_CORNER,Rotation.R90,False,5,6
3,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,1
3,Piece.CORNER_STATION,Rotation.R90,True,6,0
3,Piece.THREE_H_JUNCTION,Rotation.I,False,4,6
3,Piece.HIGHWAY_CORNER,Rotation.R270,False,6,1
4,Piece.RAILWAY_CORNER,Rotation.R90,False,5,6
4,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,0
4,Piece.HIGHWAY_CORNER,Rotation.R90,False,0,5
4,Piece.THREE_H_JUNCTION,Rotation.I,False,4,6
4,Piece.CORNER_STATION,Rotation.R270,True,0,6
5,Piece.HIGHWAY_CORNER,Rotation.R270,False,3,0
5,Piece.RAILWAY_CORNER,Rotation.R90,False,5,6
5,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6
5,Piece.CORNER_STATION,Rotation.R180,False,3,6
5,Piece.THREE_R_JUNCTION,Rotation.R270,False,4,6
6,Piece.HIGHWAY_CORNER,Rotation.R270,False,3,0
6,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
6,Piece.THREE_R_JUNCTION,Rotation.R90,False,3,6
6,Piece.RAILWAY_STRAIGHT,Rotation.I,False,2,6
6,Piece.CORNER_STATION,Rotation.I,False,4,6
7,Piece.HIGHWAY_CORNER,Rotation.R270,False,3,0
7,Piece.CORNER_STATION,Rotation.R90,False,5,6
7,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
7,Piece.CORNER_JUNCTION,Rotation.R180,False,3,6
7,Piece.RAILWAY_STRAIGHT,Rotation.I,False,2,6
8,Piece.RAILWAY_CORNER,Rotation.R90,False,5,6
8,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,0
8,Piece.HIGHWAY_CORNER,Rotation.R90,False,0,5
8,Piece.CORNER_JUNCTION,Rotation.I,False,4,6
8,Piece.CORNER_STATION,Rotation.R270,True,0,6
9,Piece.HIGHWAY_CORNER,Rotation.R270,False,3,0
9,Piece.CORNER_STATION,Rotation.R90,False,5,6
9,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
9,Piece.THREE_H_JUNCTION,Rotation.R180,False,3,6
9,Piece.RAILWAY_STRAIGHT,Rotation.I,False,2,6
10,Piece.RAILWAY_CORNER,Rotation.R90,False,5,6
10,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6
10,Piece.CORNER_STATION,Rotation.R90,False,1,5
10,Piece.HIGHWAY_CORNER,Rotation.R180,False,3,6
10,Piece.CORNER_JUNCTION,Rotation.I,False,4,6
11,Piece.CORNER_STATION,Rotation.R270,True,3,0
11,Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,0
11,Piece.HIGHWAY_CORNER,Rotation.R180,False,3,6
11,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,0
11,Piece.RAILWAY_CORNER,Rotation.R90,False,6,0
12,Piece.RAILWAY_CORNER,Rotation.R90,False,5,6
12,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,1
12,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,0
12,Piece.CORNER_STATION,Rotation.R90,True,6,0
12,Piece.HIGHWAY_CORNER,Rotation.R270,False,6,1
13,Piece.CORNER_STATION,Rotation.R270,True,3,0
13,Piece.RAILWAY_CORNER,Rotation.R90,False,5,6
13,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6
13,Piece.HIGHWAY_CORNER,Rotation.R180,False,3,6
13,Piece.CORNER_JUNCTION,Rotation.I,False,4,6
14,Piece.CORNER_STATION,Rotation.R270,True,3,0
14,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
14,Piece.CORNER_JUNCTION,Rotation.R180,False,3,6
14,Piece.RAILWAY_STRAIGHT,Rotation.I,False,2,6
14,Piece.HIGHWAY_CORNER,Rotation.I,False,4,6
15,Piece.RAILWAY_CORNER,Rotation.R90,False,5,6
15,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6
15,Piece.CORNER_STATION,Rotation.R90,False,1,5
15,Piece.HIGHWAY_CORNER,Rotation.R180,False,3,6
15,Piece.THREE_H_JUNCTION,Rotation.I,False,4,6
