Piece,Rotation,Flip,Row,Col,Turn
Piece.HIGHWAY_T,Rotation.I,False,3,0,1
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,0,0,1
Piece.OVERPASS,Rotation.I,False,0,1,1
Piece.HIGHWAY_T,Rotation.R180,False,2,0,1
Piece.RAILWAY_STRAIGHT,Rotation.I,False,1,3,2
Piece.RAILWAY_T,Rotation.R270,False,0,3,2
Piece.STRAIGHT_STATION,Rotation.R90,False,2,2,2
Piece.RAILWAY_T,Rotation.R270,False,2,3,2
Piece.HIGHWAY_T,Rotation.I,False,2,1,3
Piece.OVERPASS,Rotation.R90,False,3,3,3
Piece.RAILWAY_T,Rotation.I,False,5,0,3
Piece.RAILWAY_CORNER,Rotation.I,False,4,3,3
Piece.HIGHWAY_T,Rotation.R180,False,3,6,4
Piece.OVERPASS,Rotation.R90,False,3,2,4
Piece.RAILWAY_T,Rotation.R90,False,4,2,4
Piece.HIGHWAY_T,Rotation.R180,False,3,4,4
Piece.THREE_H_JUNCTION,Rotation.R270,False,5,6,5
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,1,5
Piece.HIGHWAY_T,Rotation.R270,False,1,1,5
Piece.STRAIGHT_STATION,Rotation.R270,False,1,0,5
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5,5
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,0,2,6
Piece.RAILWAY_T,Rotation.R270,False,6,3,6
Piece.RAILWAY_JUNCTION,Rotation.I,False,5,2,6
Piece.OVERPASS,Rotation.I,False,4,6,6
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,1,6
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,6,2,7
Piece.HIGHWAY_T,Rotation.R180,False,5,5,7
Piece.OVERPASS,Rotation.R90,False,3,5,7
Piece.RAILWAY_CORNER,Rotation.R270,False,5,3,7
Piece.THREE_R_JUNCTION,Rotation.R180,False,6,1,7
