Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
25,61.0,63.0,62.0,56.0,55.0,57.0,57.0,55.0,52.0,51.0,59.0,56.0,54.0,58.0,55.0,59.0
26,60.0,63.0,57.0,60.0,55.0,61.0,57.0,54.0,55.0,51.0,59.0,55.0,51.0,58.0,55.0,59.0
27,70.0,68.0,65.0,60.0,49.0,60.0,67.0,51.0,56.0,51.0,61.0,56.0,55.0,61.0,56.0,63.0
28,67.0,69.0,61.0,60.0,54.0,62.0,58.0,54.0,56.0,52.0,63.0,56.0,55.0,62.0,58.0,63.0
29,61.0,62.0,61.0,60.0,54.0,61.0,59.0,53.0,56.0,52.0,63.0,57.0,56.0,63.0,55.0,64.0
30,63.0,62.0,59.0,56.0,50.0,56.0,62.0,50.0,55.0,46.0,55.0,50.0,49.0,56.0,55.0,58.0
31,61.0,63.0,57.0,59.0,49.0,57.0,53.0,50.0,51.0,50.0,57.0,56.0,50.0,57.0,52.0,58.0
32,60.0,59.0,55.0,59.0,49.0,56.0,54.0,50.0,52.0,51.0,57.0,52.0,51.0,58.0,52.0,59.0
33,59.0,51.0,59.0,54.0,43.0,49.0,55.0,46.0,49.0,45.0,51.0,46.0,46.0,51.0,49.0,51.0
34,60.0,57.0,60.0,51.0,49.0,54.0,55.0,50.0,46.0,46.0,57.0,50.0,50.0,53.0,51.0,53.0
35,60.0,57.0,60.0,50.0,48.0,55.0,55.0,52.0,47.0,47.0,58.0,47.0,47.0,53.0,51.0,53.0
36,65.0,57.0,65.0,59.0,49.0,56.0,63.0,49.0,53.0,50.0,57.0,52.0,52.0,57.0,53.0,57.0
37,57.0,63.0,63.0,56.0,56.0,57.0,58.0,54.0,52.0,52.0,59.0,55.0,55.0,59.0,55.0,59.0
38,57.0,58.0,57.0,56.0,55.0,58.0,58.0,54.0,52.0,51.0,59.0,52.0,52.0,59.0,55.0,59.0
39,66.0,62.0,66.0,58.0,49.0,61.0,68.0,52.0,56.0,51.0,61.0,56.0,56.0,62.0,55.0,62.0
40,61.0,63.0,62.0,56.0,55.0,62.0,59.0,53.0,56.0,52.0,63.0,56.0,56.0,63.0,54.0,63.0
41,62.0,62.0,62.0,56.0,54.0,57.0,60.0,53.0,56.0,52.0,63.0,57.0,57.0,64.0,54.0,64.0
42,60.0,57.0,60.0,54.0,50.0,56.0,63.0,50.0,51.0,46.0,55.0,50.0,50.0,57.0,51.0,57.0
43,56.0,58.0,57.0,56.0,48.0,57.0,54.0,50.0,50.0,51.0,57.0,51.0,51.0,58.0,50.0,58.0
44,56.0,56.0,56.0,56.0,48.0,56.0,55.0,48.0,51.0,51.0,58.0,52.0,52.0,59.0,51.0,59.0
45,55.0,56.0,56.0,53.0,51.0,56.0,53.0,52.0,55.0,52.0,58.0,51.0,51.0,57.0,55.0,58.0
46,56.0,58.0,58.0,57.0,52.0,58.0,57.0,55.0,53.0,56.0,58.0,56.0,49.0,53.0,55.0,58.0
47,57.0,58.0,58.0,56.0,57.0,58.0,55.0,51.0,53.0,53.0,57.0,53.0,50.0,53.0,56.0,58.0
48,58.0,61.0,61.0,58.0,56.0,60.0,58.0,57.0,56.0,57.0,62.0,56.0,56.0,62.0,56.0,63.0
49,61.0,63.0,63.0,59.0,57.0,62.0,59.0,56.0,58.0,58.0,62.0,58.0,51.0,58.0,57.0,63.0
50,59.0,63.0,63.0,60.0,62.0,62.0,59.0,54.0,57.0,57.0,60.0,57.0,49.0,58.0,61.0,63.0
51,55.0,56.0,56.0,58.0,55.0,56.0,53.0,52.0,55.0,52.0,58.0,52.0,51.0,57.0,55.0,58.0
52,56.0,62.0,62.0,59.0,56.0,57.0,57.0,55.0,55.0,57.0,58.0,57.0,46.0,53.0,55.0,58.0
53,57.0,58.0,58.0,56.0,57.0,58.0,54.0,54.0,57.0,57.0,58.0,57.0,45.0,53.0,56.0,58.0
54,57.0,60.0,61.0,59.0,60.0,61.0,62.0,61.0,60.0,61.0,61.0,60.0,60.0,62.0,60.0,63.0
55,60.0,69.0,69.0,61.0,56.0,62.0,63.0,60.0,62.0,62.0,63.0,62.0,55.0,62.0,61.0,63.0
56,61.0,62.0,62.0,61.0,61.0,62.0,60.0,57.0,62.0,62.0,62.0,62.0,51.0,62.0,60.0,63.0
57,58.0,58.0,56.0,59.0,55.0,60.0,57.0,56.0,55.0,56.0,62.0,55.0,55.0,61.0,55.0,62.0
58,56.0,63.0,63.0,61.0,55.0,62.0,58.0,56.0,57.0,57.0,62.0,57.0,50.0,57.0,56.0,62.0
59,62.0,63.0,59.0,59.0,56.0,63.0,58.0,56.0,57.0,57.0,63.0,57.0,46.0,57.0,56.0,62.0
60,52.0,53.0,51.0,54.0,51.0,56.0,51.0,50.0,51.0,50.0,56.0,49.0,49.0,56.0,51.0,57.0
61,51.0,56.0,56.0,57.0,51.0,57.0,52.0,52.0,51.0,51.0,56.0,51.0,44.0,51.0,51.0,57.0
62,57.0,58.0,57.0,55.0,57.0,58.0,53.0,49.0,56.0,52.0,57.0,51.0,40.0,51.0,56.0,57.0
63,69.0,59.0,56.0,54.0,40.0,51.0,53.0,43.0,49.0,44.0,49.0,49.0,44.0,49.0,48.0,49.0
64,62.0,60.0,62.0,55.0,47.0,54.0,57.0,49.0,49.0,44.0,56.0,49.0,47.0,54.0,54.0,56.0
65,62.0,60.0,62.0,54.0,46.0,53.0,57.0,49.0,49.0,45.0,56.0,49.0,48.0,51.0,54.0,55.0
66,65.0,55.0,57.0,55.0,41.0,52.0,54.0,44.0,50.0,45.0,50.0,50.0,45.0,50.0,49.0,50.0
67,63.0,61.0,63.0,54.0,48.0,54.0,58.0,50.0,50.0,45.0,56.0,50.0,48.0,55.0,55.0,56.0
68,63.0,61.0,63.0,55.0,47.0,54.0,58.0,50.0,50.0,45.0,57.0,50.0,49.0,52.0,55.0,52.0
69,63.0,61.0,63.0,60.0,48.0,55.0,61.0,47.0,56.0,50.0,56.0,56.0,50.0,55.0,53.0,57.0
70,60.0,62.0,61.0,55.0,55.0,57.0,56.0,54.0,51.0,50.0,62.0,55.0,53.0,62.0,59.0,62.0
71,59.0,62.0,56.0,59.0,54.0,60.0,56.0,53.0,55.0,50.0,58.0,55.0,50.0,57.0,55.0,58.0
72,69.0,67.0,64.0,59.0,48.0,60.0,66.0,50.0,55.0,50.0,60.0,55.0,54.0,60.0,55.0,62.0
73,66.0,68.0,60.0,59.0,54.0,62.0,57.0,53.0,56.0,51.0,67.0,56.0,54.0,67.0,58.0,67.0
74,60.0,61.0,60.0,59.0,53.0,60.0,58.0,52.0,55.0,51.0,62.0,56.0,55.0,62.0,57.0,63.0
75,62.0,61.0,58.0,55.0,49.0,56.0,61.0,49.0,55.0,45.0,54.0,50.0,48.0,55.0,55.0,57.0
76,60.0,62.0,56.0,58.0,47.0,57.0,52.0,49.0,53.0,49.0,60.0,55.0,49.0,61.0,54.0,61.0
77,59.0,58.0,54.0,58.0,47.0,56.0,53.0,49.0,54.0,50.0,56.0,51.0,50.0,57.0,54.0,58.0
78,58.0,53.0,58.0,53.0,42.0,49.0,54.0,45.0,49.0,44.0,50.0,45.0,45.0,50.0,48.0,50.0
79,59.0,56.0,59.0,55.0,48.0,53.0,54.0,51.0,49.0,45.0,56.0,50.0,49.0,56.0,55.0,56.0
80,59.0,59.0,59.0,54.0,48.0,54.0,54.0,51.0,50.0,46.0,57.0,50.0,50.0,52.0,54.0,52.0
81,64.0,59.0,64.0,58.0,49.0,55.0,62.0,48.0,52.0,49.0,56.0,52.0,51.0,56.0,52.0,56.0
82,60.0,62.0,62.0,56.0,56.0,57.0,57.0,55.0,52.0,51.0,63.0,54.0,54.0,63.0,60.0,63.0
83,60.0,61.0,56.0,55.0,55.0,61.0,57.0,53.0,52.0,50.0,58.0,52.0,51.0,58.0,56.0,58.0
84,65.0,61.0,65.0,57.0,49.0,60.0,67.0,51.0,56.0,51.0,60.0,56.0,55.0,61.0,54.0,61.0
85,60.0,62.0,61.0,59.0,55.0,62.0,58.0,54.0,56.0,51.0,68.0,56.0,55.0,68.0,59.0,68.0
86,61.0,61.0,61.0,59.0,54.0,60.0,59.0,52.0,56.0,51.0,62.0,57.0,56.0,63.0,58.0,63.0
87,59.0,56.0,59.0,53.0,50.0,56.0,62.0,49.0,50.0,46.0,54.0,50.0,49.0,56.0,50.0,56.0
88,55.0,57.0,56.0,59.0,48.0,57.0,53.0,50.0,54.0,50.0,61.0,51.0,50.0,62.0,55.0,62.0
89,59.0,59.0,55.0,59.0,48.0,56.0,54.0,50.0,55.0,51.0,57.0,52.0,51.0,58.0,55.0,58.0
90,54.0,60.0,55.0,58.0,51.0,56.0,52.0,51.0,55.0,51.0,57.0,51.0,51.0,56.0,55.0,57.0
91,55.0,61.0,57.0,56.0,54.0,57.0,56.0,56.0,53.0,55.0,57.0,57.0,57.0,57.0,55.0,57.0
92,57.0,62.0,57.0,59.0,57.0,62.0,55.0,51.0,54.0,52.0,57.0,54.0,54.0,54.0,55.0,57.0
93,58.0,60.0,60.0,58.0,56.0,59.0,57.0,56.0,60.0,56.0,61.0,56.0,55.0,61.0,60.0,62.0
94,60.0,62.0,62.0,61.0,57.0,61.0,58.0,55.0,58.0,57.0,61.0,62.0,62.0,62.0,56.0,62.0
95,60.0,62.0,62.0,60.0,62.0,62.0,59.0,56.0,58.0,57.0,59.0,58.0,57.0,58.0,60.0,62.0
96,55.0,60.0,55.0,58.0,55.0,59.0,52.0,51.0,56.0,51.0,57.0,51.0,51.0,56.0,56.0,57.0
97,60.0,61.0,61.0,61.0,56.0,57.0,56.0,55.0,56.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0
98,61.0,62.0,57.0,59.0,57.0,62.0,54.0,53.0,56.0,57.0,57.0,56.0,52.0,57.0,56.0,57.0
99,59.0,65.0,60.0,58.0,60.0,65.0,61.0,60.0,65.0,60.0,60.0,60.0,59.0,65.0,65.0,65.0
100,59.0,68.0,68.0,61.0,56.0,61.0,62.0,59.0,62.0,61.0,62.0,67.0,67.0,67.0,60.0,67.0
101,66.0,67.0,61.0,63.0,61.0,67.0,60.0,56.0,62.0,62.0,62.0,62.0,61.0,61.0,60.0,62.0
102,60.0,61.0,55.0,58.0,55.0,61.0,56.0,55.0,60.0,55.0,61.0,55.0,55.0,60.0,60.0,61.0
103,59.0,62.0,62.0,60.0,55.0,62.0,57.0,55.0,60.0,56.0,61.0,61.0,61.0,61.0,60.0,61.0
104,67.0,68.0,58.0,59.0,56.0,68.0,58.0,55.0,60.0,57.0,62.0,57.0,56.0,61.0,60.0,61.0
105,55.0,56.0,51.0,53.0,51.0,56.0,50.0,49.0,54.0,49.0,55.0,49.0,49.0,55.0,54.0,56.0
106,54.0,57.0,55.0,59.0,51.0,57.0,51.0,51.0,53.0,50.0,55.0,55.0,55.0,56.0,53.0,56.0
107,61.0,62.0,57.0,59.0,57.0,62.0,53.0,51.0,55.0,51.0,56.0,51.0,51.0,56.0,55.0,56.0
108,50.0,48.0,47.0,54.0,42.0,45.0,45.0,44.0,49.0,44.0,46.0,46.0,46.0,45.0,49.0,45.0
109,52.0,51.0,50.0,48.0,48.0,49.0,45.0,50.0,46.0,46.0,52.0,50.0,50.0,51.0,50.0,51.0
110,54.0,54.0,49.0,49.0,48.0,50.0,44.0,46.0,46.0,46.0,53.0,46.0,46.0,47.0,51.0,47.0
111,57.0,54.0,54.0,59.0,49.0,51.0,51.0,49.0,53.0,50.0,52.0,52.0,52.0,52.0,53.0,52.0
112,55.0,57.0,55.0,56.0,56.0,53.0,50.0,54.0,52.0,52.0,58.0,55.0,55.0,58.0,55.0,58.0
113,55.0,56.0,55.0,55.0,55.0,56.0,52.0,51.0,52.0,51.0,54.0,52.0,52.0,54.0,55.0,54.0
114,58.0,54.0,54.0,58.0,49.0,56.0,56.0,50.0,56.0,51.0,57.0,56.0,56.0,56.0,55.0,57.0
115,54.0,56.0,54.0,56.0,55.0,58.0,51.0,53.0,56.0,52.0,62.0,56.0,56.0,62.0,54.0,62.0
116,60.0,56.0,60.0,54.0,54.0,55.0,55.0,50.0,56.0,52.0,59.0,57.0,57.0,58.0,54.0,59.0
117,52.0,50.0,48.0,53.0,50.0,52.0,51.0,46.0,50.0,46.0,51.0,50.0,50.0,51.0,50.0,52.0
118,49.0,51.0,50.0,56.0,48.0,53.0,52.0,50.0,50.0,51.0,56.0,51.0,51.0,57.0,50.0,57.0
119,54.0,54.0,54.0,54.0,48.0,52.0,51.0,46.0,51.0,47.0,53.0,52.0,52.0,53.0,51.0,54.0
120,54.0,56.0,56.0,59.0,51.0,54.0,52.0,52.0,56.0,52.0,55.0,52.0,52.0,56.0,56.0,56.0
121,55.0,57.0,57.0,57.0,55.0,56.0,53.0,55.0,53.0,56.0,56.0,58.0,58.0,58.0,56.0,58.0
122,56.0,57.0,57.0,56.0,57.0,57.0,54.0,51.0,55.0,52.0,57.0,55.0,55.0,55.0,56.0,55.0
123,53.0,61.0,61.0,58.0,56.0,56.0,56.0,57.0,61.0,57.0,58.0,56.0,56.0,61.0,61.0,61.0
124,55.0,62.0,62.0,62.0,57.0,57.0,57.0,56.0,58.0,58.0,58.0,63.0,63.0,63.0,57.0,63.0
125,59.0,62.0,62.0,60.0,62.0,62.0,57.0,56.0,58.0,53.0,59.0,58.0,58.0,59.0,57.0,59.0
126,54.0,56.0,56.0,59.0,55.0,55.0,51.0,52.0,57.0,52.0,53.0,52.0,52.0,56.0,57.0,56.0
127,55.0,57.0,57.0,62.0,56.0,57.0,52.0,55.0,57.0,56.0,58.0,58.0,58.0,58.0,57.0,58.0
128,56.0,57.0,57.0,60.0,57.0,57.0,52.0,52.0,57.0,52.0,58.0,53.0,53.0,58.0,57.0,58.0
129,54.0,60.0,60.0,59.0,60.0,60.0,57.0,61.0,66.0,61.0,60.0,60.0,60.0,66.0,66.0,66.0
130,54.0,62.0,61.0,61.0,56.0,60.0,58.0,60.0,62.0,62.0,61.0,68.0,68.0,68.0,61.0,68.0
131,60.0,61.0,61.0,60.0,61.0,61.0,58.0,57.0,62.0,57.0,62.0,62.0,62.0,62.0,61.0,63.0
132,55.0,56.0,55.0,59.0,55.0,57.0,55.0,56.0,61.0,56.0,57.0,56.0,56.0,60.0,61.0,60.0
133,54.0,57.0,56.0,61.0,55.0,58.0,56.0,56.0,61.0,57.0,62.0,62.0,62.0,62.0,61.0,62.0
134,61.0,62.0,59.0,59.0,56.0,62.0,56.0,56.0,61.0,57.0,62.0,57.0,57.0,62.0,61.0,62.0
135,50.0,51.0,51.0,54.0,51.0,52.0,50.0,50.0,55.0,50.0,52.0,50.0,50.0,54.0,55.0,54.0
136,49.0,52.0,50.0,56.0,51.0,53.0,51.0,51.0,54.0,51.0,56.0,56.0,56.0,57.0,54.0,57.0
137,56.0,57.0,57.0,55.0,57.0,57.0,52.0,51.0,54.0,52.0,56.0,52.0,52.0,57.0,54.0,57.0
138,54.0,55.0,55.0,58.0,51.0,56.0,51.0,52.0,54.0,56.0,54.0,52.0,51.0,52.0,55.0,54.0
139,54.0,56.0,56.0,56.0,52.0,57.0,52.0,52.0,55.0,57.0,56.0,56.0,50.0,48.0,56.0,55.0
140,56.0,57.0,57.0,57.0,57.0,58.0,55.0,51.0,53.0,53.0,57.0,53.0,50.0,49.0,56.0,59.0
141,53.0,60.0,60.0,63.0,56.0,61.0,55.0,57.0,57.0,56.0,57.0,57.0,56.0,56.0,58.0,59.0
142,54.0,61.0,61.0,61.0,57.0,62.0,56.0,57.0,58.0,58.0,59.0,58.0,55.0,53.0,57.0,59.0
143,57.0,62.0,62.0,62.0,62.0,62.0,59.0,54.0,57.0,57.0,59.0,57.0,50.0,54.0,61.0,64.0
144,54.0,55.0,55.0,58.0,56.0,60.0,51.0,52.0,56.0,52.0,54.0,52.0,51.0,56.0,56.0,56.0
145,55.0,56.0,56.0,59.0,55.0,57.0,52.0,58.0,58.0,58.0,56.0,57.0,51.0,52.0,58.0,58.0
146,56.0,57.0,57.0,57.0,57.0,58.0,56.0,55.0,57.0,57.0,58.0,57.0,50.0,52.0,56.0,59.0
147,54.0,59.0,59.0,68.0,59.0,66.0,56.0,60.0,61.0,60.0,59.0,61.0,60.0,60.0,60.0,61.0
148,53.0,61.0,61.0,62.0,56.0,61.0,57.0,62.0,62.0,62.0,61.0,62.0,56.0,57.0,62.0,62.0
149,60.0,61.0,61.0,62.0,61.0,62.0,60.0,58.0,62.0,62.0,64.0,62.0,51.0,58.0,61.0,64.0
150,55.0,60.0,60.0,63.0,56.0,60.0,55.0,56.0,61.0,56.0,60.0,57.0,56.0,61.0,61.0,61.0
151,54.0,61.0,61.0,61.0,57.0,62.0,56.0,63.0,63.0,63.0,61.0,58.0,55.0,57.0,63.0,63.0
152,61.0,62.0,62.0,59.0,62.0,63.0,58.0,58.0,57.0,58.0,62.0,57.0,50.0,57.0,57.0,63.0
153,54.0,56.0,56.0,58.0,56.0,56.0,51.0,53.0,56.0,51.0,57.0,52.0,51.0,56.0,56.0,56.0
154,55.0,56.0,56.0,59.0,57.0,58.0,51.0,58.0,58.0,58.0,58.0,56.0,49.0,52.0,58.0,58.0
155,56.0,62.0,62.0,54.0,62.0,62.0,57.0,53.0,57.0,53.0,58.0,52.0,46.0,52.0,57.0,58.0
156,53.0,60.0,60.0,67.0,60.0,65.0,55.0,60.0,65.0,60.0,60.0,60.0,59.0,65.0,65.0,65.0
157,52.0,60.0,61.0,62.0,61.0,61.0,56.0,67.0,67.0,67.0,61.0,62.0,60.0,60.0,67.0,67.0
158,59.0,67.0,67.0,61.0,67.0,67.0,61.0,62.0,62.0,62.0,64.0,62.0,55.0,60.0,61.0,63.0
159,54.0,61.0,61.0,62.0,61.0,61.0,56.0,60.0,66.0,60.0,59.0,61.0,60.0,66.0,66.0,66.0
160,53.0,61.0,61.0,62.0,62.0,62.0,57.0,68.0,68.0,68.0,61.0,62.0,55.0,61.0,68.0,68.0
161,60.0,68.0,68.0,60.0,68.0,68.0,62.0,62.0,62.0,62.0,63.0,57.0,50.0,61.0,62.0,63.0
162,53.0,56.0,56.0,59.0,56.0,61.0,54.0,56.0,60.0,55.0,57.0,56.0,55.0,60.0,60.0,60.0
163,54.0,56.0,56.0,58.0,57.0,58.0,55.0,62.0,62.0,62.0,62.0,57.0,49.0,56.0,62.0,62.0
164,58.0,62.0,62.0,58.0,62.0,62.0,57.0,57.0,57.0,58.0,62.0,52.0,46.0,56.0,57.0,62.0
165,47.0,52.0,52.0,54.0,50.0,56.0,49.0,50.0,54.0,50.0,52.0,50.0,49.0,54.0,54.0,54.0
166,48.0,51.0,51.0,54.0,51.0,53.0,50.0,56.0,56.0,56.0,57.0,51.0,43.0,50.0,56.0,57.0
167,52.0,56.0,56.0,54.0,56.0,56.0,51.0,52.0,51.0,53.0,58.0,47.0,40.0,50.0,51.0,57.0
