Piece,Rotation,Flip,Row,Col,Turn
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,0,1
Piece.RAILWAY_CORNER,Rotation.R180,False,0,0,1
Piece.RAILWAY_CORNER,Rotation.I,False,1,0,1
Piece.CORNER_STATION,Rotation.R270,False,0,1,1
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6,2
Piece.RAILWAY_T,Rotation.R90,False,0,3,2
Piece.RAILWAY_T,Rotation.R270,False,0,4,2
Piece.OVERPASS,Rotation.I,False,1,1,2
Piece.RAILWAY_CORNER,Rotation.I,False,1,3,3
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,2,1,3
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,6,2,3
Piece.CORNER_STATION,Rotation.R270,True,6,3,3
Piece.RAILWAY_CORNER,Rotation.R180,False,1,2,4
Piece.STRAIGHT_STATION,Rotation.I,False,2,2,4
Piece.HIGHWAY_T,Rotation.R270,False,3,2,4
Piece.HIGHWAY_T,Rotation.R90,False,6,1,4
Piece.OVERPASS,Rotation.I,False,5,1,5
Piece.RAILWAY_CORNER,Rotation.I,False,2,5,5
Piece.RAILWAY_CORNER,Rotation.R180,False,1,5,5
Piece.CORNER_JUNCTION,Rotation.I,False,4,2,5
Piece.RAILWAY_CORNER,Rotation.R90,False,2,4,5
Piece.OVERPASS,Rotation.I,False,5,0,6
Piece.HIGHWAY_T,Rotation.R90,False,4,1,6
Piece.RAILWAY_T,Rotation.R90,False,1,4,6
Piece.HIGHWAY_T,Rotation.R270,False,6,5,6
Piece.HIGHWAY_JUNCTION,Rotation.I,False,3,1,6
Piece.CROSS_JUNCTION,Rotation.I,False,5,6,7
Piece.CORNER_STATION,Rotation.R180,True,5,5,7
Piece.HIGHWAY_T,Rotation.R180,False,3,6,7
Piece.RAILWAY_T,Rotation.I,False,5,2,7
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,4,6,7
