Piece,Rotation,Flip,Row,Col,Turn
Piece.RAILWAY_CORNER,Rotation.R270,False,6,3,1
Piece.CORNER_STATION,Rotation.I,True,1,1,1
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,0,1
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,1,1
Piece.HIGHWAY_CORNER,Rotation.R270,False,3,0,2
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6,2
Piece.OVERPASS,Rotation.R90,False,0,3,2
Piece.HIGHWAY_CORNER,Rotation.R180,False,6,5,2
Piece.OVERPASS,Rotation.R90,False,1,3,3
Piece.HIGHWAY_CORNER,Rotation.R90,False,0,5,3
Piece.RAILWAY_T,Rotation.I,False,2,3,3
Piece.RAILWAY_T,Rotation.I,False,2,4,3
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,2,1,4
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,3,4
Piece.OVERPASS,Rotation.I,False,2,2,4
Piece.HIGHWAY_CORNER,Rotation.R90,False,3,2,4
Piece.STRAIGHT_STATION,Rotation.R180,False,4,0,5
Piece.CORNER_JUNCTION,Rotation.I,False,4,4,5
Piece.RAILWAY_CORNER,Rotation.I,False,5,0,5
Piece.HIGHWAY_T,Rotation.R180,False,4,3,5
Piece.HIGHWAY_CORNER,Rotation.R270,False,3,4,5
Piece.THREE_H_JUNCTION,Rotation.R270,False,1,6,6
Piece.RAILWAY_CORNER,Rotation.R270,False,2,5,6
Piece.RAILWAY_CORNER,Rotation.R90,False,5,5,6
Piece.RAILWAY_T,Rotation.R270,False,4,5,6
Piece.OVERPASS,Rotation.R90,False,1,4,6
Piece.RAILWAY_T,Rotation.R180,False,6,2,7
Piece.HIGHWAY_CORNER,Rotation.R180,False,1,2,7
Piece.RAILWAY_T,Rotation.R270,False,3,5,7
Piece.CORNER_STATION,Rotation.R180,True,6,1,7
Piece.HIGHWAY_JUNCTION,Rotation.I,False,0,6,7
