Move,Piece,Rotation,Flip,Row,Col
0,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
0,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
0,Piece.THREE_H_JUNCTION,Rotation.R90,False,5,5
0,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,2,2
0,Piece.RAILWAY_CORNER,Rotation.R180,False,5,3
1,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
1,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
1,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,2,2
1,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,4
1,Piece.RAILWAY_CORNER,Rotation.R180,False,5,3
2,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
2,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,2,2
2,Piece.RAILWAY_CORNER,Rotation.I,False,0,4
2,Piece.CORNER_JUNCTION,Rotation.R180,False,5,4
2,Piece.RAILWAY_CORNER,Rotation.R180,False,5,3
3,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
3,Piece.HIGHWAY_JUNCTION,Rotation.I,False,5,5
3,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,2,2
3,Piece.RAILWAY_CORNER,Rotation.I,False,0,4
3,Piece.RAILWAY_CORNER,Rotation.R180,False,5,3
4,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
4,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
4,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,2,2
4,Piece.RAILWAY_CORNER,Rotation.I,False,0,4
4,Piece.CROSS_JUNCTION,Rotation.R90,False,5,4
5,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
5,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,2,2
5,Piece.STRAIGHT_STATION,Rotation.R270,False,6,4
5,Piece.RAILWAY_CORNER,Rotation.R90,False,5,4
5,Piece.THREE_H_JUNCTION,Rotation.R270,False,6,5
6,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
6,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
6,Piece.RAILWAY_CORNER,Rotation.I,False,6,4
6,Piece.CORNER_JUNCTION,Rotation.R270,False,4,5
6,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
7,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
7,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,2,2
7,Piece.STRAIGHT_STATION,Rotation.R270,False,6,4
7,Piece.RAILWAY_CORNER,Rotation.R90,False,5,4
7,Piece.CORNER_JUNCTION,Rotation.R270,False,4,5
8,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
8,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
8,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,2,2
8,Piece.CORNER_JUNCTION,Rotation.R270,False,4,5
8,Piece.RAILWAY_CORNER,Rotation.R180,False,5,3
9,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
9,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,2,2
9,Piece.RAILWAY_CORNER,Rotation.I,False,0,4
9,Piece.RAILWAY_CORNER,Rotation.I,False,6,4
9,Piece.CROSS_JUNCTION,Rotation.R90,False,5,4
10,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
10,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
10,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,2,2
10,Piece.RAILWAY_CORNER,Rotation.I,False,6,4
10,Piece.CROSS_JUNCTION,Rotation.R90,False,5,4
11,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
11,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,6
11,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,2,2
11,Piece.STRAIGHT_STATION,Rotation.R270,False,6,4
11,Piece.RAILWAY_CORNER,Rotation.R90,False,5,4
12,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
12,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
12,Piece.HIGHWAY_JUNCTION,Rotation.I,False,2,2
12,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,4,5
12,Piece.RAILWAY_CORNER,Rotation.R180,False,5,3
13,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
13,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
13,Piece.THREE_H_JUNCTION,Rotation.R180,False,2,2
13,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,4,5
13,Piece.RAILWAY_CORNER,Rotation.R180,False,5,3
14,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,2,2
14,Piece.RAILWAY_CORNER,Rotation.I,False,0,4
14,Piece.RAILWAY_CORNER,Rotation.I,False,6,4
14,Piece.CROSS_JUNCTION,Rotation.R90,False,5,4
14,Piece.STRAIGHT_STATION,Rotation.I,False,6,5
15,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
15,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,2,2
15,Piece.RAILWAY_CORNER,Rotation.I,False,0,4
15,Piece.CROSS_JUNCTION,Rotation.R90,False,5,4
15,Piece.STRAIGHT_STATION,Rotation.I,False,6,5
