Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
145,58.0,58.0,58.0,59.0,59.0
146,60.0,60.0,60.0,60.0,60.0
147,59.0,59.0,58.0,58.0,58.0
148,60.0,60.0,60.0,59.0,59.0
149,63.0,63.0,63.0,62.0,62.0
150,59.0,59.0,57.0,58.0,58.0
151,60.0,60.0,60.0,59.0,59.0
152,63.0,63.0,63.0,62.0,62.0
153,56.0,56.0,56.0,58.0,58.0
154,58.0,58.0,58.0,60.0,60.0
155,59.0,59.0,59.0,61.0,61.0
156,58.0,58.0,57.0,57.0,57.0
157,59.0,59.0,59.0,58.0,58.0
158,62.0,62.0,62.0,61.0,61.0
159,58.0,58.0,57.0,57.0,57.0
160,59.0,59.0,59.0,58.0,58.0
161,63.0,63.0,63.0,62.0,62.0
162,57.0,57.0,57.0,57.0,57.0
163,58.0,58.0,58.0,59.0,59.0
164,63.0,63.0,63.0,62.0,62.0
165,54.0,54.0,54.0,55.0,55.0
166,55.0,55.0,55.0,56.0,56.0
167,59.0,59.0,59.0,61.0,61.0
